controller,xtrack_rmse_cm,heading_rmse_deg,control_jerk,success_rate,mean_return
pursuit,17.88,7.81,0.0285,0.98,88.95
rl_jerk0.3,8.46,9.3,0.0986,0.995,99.31
rl_jerk1.0,8.52,9.43,0.0769,0.995,99.57
rl_jerk3.0,8.85,9.54,0.059,0.995,99.54
rl_jerk8.0,8.86,9.61,0.0513,0.995,99.55
rl_residual_jerk0.3,8.95,9.01,0.0852,0.995,99.39
rl_residual_jerk1.0,9.12,9.08,0.0667,0.995,99.44
rl_residual_jerk3.0,9.48,8.78,0.0533,0.995,99.66
rl_residual_jerk8.0,9.35,9.25,0.0442,0.995,99.39
mpc,14.18,6.09,0.0542,0.995,95.94
